id_ev,tipo_ev,nombre_ev,prod_as_ev,fecha_ev,loc_ev,estado,id_cli,fecha_nac,sexo,prov,importe_activos_0,importe_activos_1
881,16,Estrateggias paraacum ular fondos,Seguro de Ahorro Educativo,06/07/2018,barcelona,Asistido,400237,21/10/1971,Hombre,BIL,104623.0000,185796.1300
881,16,Estrateggias paraacum ular fondos,Seguro de Ahorro Educativo,06/07/2018,barcelona,Invitacion enviada,386736,25/05/1957,M,MAD,73324.9200,75298.1800
881,16,Estrateggias paraacum ular fondos,Seguro de Ahorro Educativo,06/07/2018,barcelona,Invitacion aceptada,521788,01/10/1932,Hombre,ZGZ,453724.0400,656572.0900
881,16,Estrategias para acumular fondos,Seguro de Ahorro Educativo,06/07/2018,barcelona,Invitacion aceptada,599779,15/11/1997,M,BCN,629294.8800,701807.0200
881,16,Estrategias para acumular fondos,Seguro de Ahorro Educativo,06/07/2018,barcelona,Asistido,519305,19/06/1945,H,Málaga,709428.7900,1356012.8600
881,16,Estrategias para acumular fondos,Seguro de Ahorro Educativo,06/07/2018,barcelona,Invitacion aceptada,320505,07/04/1972,Hombre,BCN,140388.2400,155426.9000
881,16,Estrategias para acumular fondos,Seguro de Ahorro Educativo,06/07/2018,barcelona,Invitacion enviada,385018,04/10/1978,Mujer,madrid,578454.5700,694833.9900
881,16,Estrategias para acumular fondos,Seguro de Ahorro Educativo,06/07/2018,barcelona,Asistido,573461,04/08/1934,Mujer,SEV,747875.5900,1183797.8100
881,16,Estrategias para acumular fondos,Seguro de Ahorro Educativo,06/07/2018,barcelona,Invitacion aceptada,538794,09/09/1930,M,sevilla,407004.8800,369895.0000
881,16,Estrategias para acumular fondos,Seguro de Ahorro Educativo,06/07/2018,barcelona,Invitacion enviada,515959,13/07/1986,H,ZGZ,199682.7600,369432.6300
881,16,Estrategias para acumular fondos,Seguro de Ahorro Educativo,06/07/2018,barcelona,Invitacion enviada,536635,03/11/1992,H,zaragoza,740292.9000,1316096.9100
881,16,Estrategias para acumular fondos,Seguro de Ahorro Educativo,06/07/2018,barcelona,Invitacion aceptada,518752,05/05/1947,Hombre,Bilbao,655571.2000,1270026.0300
881,16,Estrategias para acumular fondos,Seguro de Ahorro Educativo,06/07/2018,barcelona,Asistido,500397,21/04/2005,Hombre,sevilla,935904.1300,1023621.5000
881,16,Estrategias para acumular fondos,Seguro de Ahorro Educativo,06/07/2018,barcelona,Invitacion aceptada,328310,14/09/1950,H,bilbao,192519.8600,235013.0300
881,16,Estrategias para acumular fondos,Seguro de Ahorro Educativo,06/07/2018,barcelona,Asistido,513566,07/06/1947,H,sevilla,396296.4000,498852.7200
